'White', 'Black', 'Date', 'HalfMoves', 'Moves', 'Result', 'WhiteElo', 'BlackElo', 'GameNumber', 'Event', 'Site', 'EventDate', 'Round', 'ECO', 'Opening'
'Lasker  Emanuel', 'Janowski  Dawid M', '1909.10.22', '75', '37', 'White', '0', '0', '132', 'World Championship 9th', 'Paris FRA', '1909.10.19', '3', 'C68', 'Ruy Lopez, Exchange'
'Janowski  Dawid M', 'Lasker  Emanuel', '1909.10.25', '100', '50', 'Black', '0', '0', '133', 'World Championship 9th', 'Paris FRA', '1909.10.19', '4', 'C49', 'Four Knights'
'Lasker  Emanuel', 'Janowski  Dawid M', '1909.10.27', '121', '60', 'White', '0', '0', '134', 'World Championship 9th', 'Paris FRA', '1909.10.19', '5', 'C68', 'Ruy Lopez, Exchange'
'Janowski  Dawid M', 'Lasker  Emanuel', '1909.10.30', '65', '32', 'White', '0', '0', '135', 'World Championship 9th', 'Paris FRA', '1909.10.19', '6', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Janowski  Dawid M', '1909.11.02', '125', '62', 'White', '0', '0', '136', 'World Championship 9th', 'Paris FRA', '1909.10.19', '7', 'C87', 'Ruy Lopez'
'Janowski  Dawid M', 'Lasker  Emanuel', '1909.11.05', '60', '30', 'Draw', '0', '0', '137', 'World Championship 9th', 'Paris FRA', '1909.10.19', '8', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Janowski  Dawid M', '1909.11.06', '121', '60', 'White', '0', '0', '138', 'World Championship 9th', 'Paris FRA', '1909.10.19', '9', 'C87', 'Ruy Lopez'
'Janowski  Dawid M', 'Lasker  Emanuel', '1909.11.09', '58', '29', 'Black', '0', '0', '139', 'World Championship 9th', 'Paris FRA', '1909.10.19', '10', 'B34', 'Sicilian, Accelerated Fianchetto'
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.11.08', '43', '21', 'White', '0', '0', '140', 'World Championship 11th', 'Berlin GER', '1910.11.08', '1', 'D32', "Queen's Gambit Declined, Tarrasch"
'Janowski  Dawid M', 'Lasker  Emanuel', '1910.11.09', '90', '45', 'Draw', '0', '0', '141', 'World Championship 11th', 'Berlin GER', '1910.11.08', '2', 'D05', "Queen's Pawn Game"
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.11.12', '201', '100', 'Draw', '0', '0', '142', 'World Championship 11th', 'Berlin GER', '1910.11.08', '3', 'D55', "Queen's Gambit Declined"
'Janowski  Dawid M', 'Lasker  Emanuel', '1910.11.17', '62', '31', 'Black', '0', '0', '143', 'World Championship 11th', 'Berlin GER', '1910.11.08', '4', 'D27', "Queen's Gambit Accepted, Classical"
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.11.19', '57', '28', 'White', '0', '0', '144', 'World Championship 11th', 'Berlin GER', '1910.11.08', '5', 'D32', "Queen's Gambit Declined, Tarrasch"
'Janowski  Dawid M', 'Lasker  Emanuel', '1910.11.20', '133', '66', 'Draw', '0', '0', '145', 'World Championship 11th', 'Berlin GER', '1910.11.08', '6', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.11.24', '91', '45', 'White', '0', '0', '146', 'World Championship 11th', 'Berlin GER', '1910.11.08', '7', 'D32', "Queen's Gambit Declined, Tarrasch"
'Janowski  Dawid M', 'Lasker  Emanuel', '1910.11.27', '176', '88', 'Black', '0', '0', '147', 'World Championship 11th', 'Berlin GER', '1910.11.08', '8', 'D40', "Queen's Gambit Declined, Semi-Tarrasch"
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.12.01', '85', '42', 'White', '0', '0', '148', 'World Championship 11th', 'Berlin GER', '1910.11.08', '9', 'C79', 'Ruy Lopez, Steinitz Defense Deferred'
'Janowski  Dawid M', 'Lasker  Emanuel', '1910.12.06', '104', '52', 'Black', '0', '0', '149', 'World Championship 11th', 'Berlin GER', '1910.11.08', '10', 'B07', 'Pirc'
'Lasker  Emanuel', 'Janowski  Dawid M', '1910.12.08', '59', '29', 'White', '0', '0', '150', 'World Championship 11th', 'Berlin GER', '1910.11.08', '11', 'C30', "King's Gambit Declined"
'Schlechter  Carl', 'Lasker  Emanuel', '1910.01.07', '138', '69', 'Draw', '0', '0', '151', 'World Championship 10th', 'GER/AUT', '1910.01.07', '1', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Schlechter  Carl', '1910.01.13', '70', '35', 'Draw', '0', '0', '152', 'World Championship 10th', 'GER/AUT', '1910.01.07', '2', 'C80', 'Ruy Lopez, Open'
'Schlechter  Carl', 'Lasker  Emanuel', '1910.01.15', '62', '31', 'Draw', '0', '0', '153', 'World Championship 10th', 'GER/AUT', '1910.01.07', '3', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Schlechter  Carl', '1910.01.18', '112', '56', 'Draw', '0', '0', '154', 'World Championship 10th', 'GER/AUT', '1910.01.07', '4', 'C80', 'Ruy Lopez, Open'
'Schlechter  Carl', 'Lasker  Emanuel', '1910.01.21', '116', '58', 'White', '0', '0', '155', 'World Championship 10th', 'GER/AUT', '1910.01.07', '5', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Schlechter  Carl', '1910.01.29', '94', '47', 'Draw', '0', '0', '156', 'World Championship 10th', 'GER/AUT', '1910.01.07', '6', 'C80', 'Ruy Lopez, Open'
'Schlechter  Carl', 'Lasker  Emanuel', '1910.01.30', '96', '48', 'Draw', '0', '0', '157', 'World Championship 10th', 'GER/AUT', '1910.01.07', '7', 'B57', 'Sicilian'
'Lasker  Emanuel', 'Schlechter  Carl', '1910.02.02', '86', '43', 'Draw', '0', '0', '158', 'World Championship 10th', 'GER/AUT', '1910.01.07', '8', 'C80', 'Ruy Lopez, Open'
'Schlechter  Carl', 'Lasker  Emanuel', '1910.02.05', '129', '64', 'Draw', '0', '0', '159', 'World Championship 10th', 'GER/AUT', '1910.01.07', '9', 'B33', 'Sicilian'
'Lasker  Emanuel', 'Schlechter  Carl', '1910.02.08', '141', '70', 'White', '0', '0', '160', 'World Championship 10th', 'GER/AUT', '1910.01.07', '10', 'D94', 'Grunfeld'
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.03.15', '100', '50', 'Draw', '0', '0', '161', 'World Championship 12th', 'Havana CUB', '1921.03.15', '1', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.03.17', '81', '40', 'Draw', '0', '0', '162', 'World Championship 12th', 'Havana CUB', '1921.03.15', '2', 'D37', "Queen's Gambit Declined"
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.03.19', '125', '62', 'Draw', '0', '0', '163', 'World Championship 12th', 'Havana CUB', '1921.03.15', '3', 'C66', 'Ruy Lopez'
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.03.23', '59', '29', 'Draw', '0', '0', '164', 'World Championship 12th', 'Havana CUB', '1921.03.15', '4', 'D60', "Queen's Gambit Declined, Orthodox Defense"
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.03.29', '91', '45', 'White', '0', '0', '165', 'World Championship 12th', 'Havana CUB', '1921.03.15', '5', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.03.30', '86', '43', 'Draw', '0', '0', '166', 'World Championship 12th', 'Havana CUB', '1921.03.15', '6', 'C66', 'Ruy Lopez'
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.04.02', '46', '23', 'Draw', '0', '0', '167', 'World Championship 12th', 'Havana CUB', '1921.03.15', '7', 'D61', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.04.03', '60', '30', 'Draw', '0', '0', '168', 'World Championship 12th', 'Havana CUB', '1921.03.15', '8', 'D12', "Queen's Gambit Declined Slav"
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.04.06', '42', '21', 'Draw', '0', '0', '169', 'World Championship 12th', 'Havana CUB', '1921.03.15', '9', 'D34', "Queen's Gambit Declined, Tarrasch"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.04.08', '136', '68', 'Black', '0', '0', '170', 'World Championship 12th', 'Havana CUB', '1921.03.15', '10', 'D61', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.04.13', '95', '47', 'White', '0', '0', '171', 'World Championship 12th', 'Havana CUB', '1921.03.15', '11', 'D64', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.04.16', '61', '30', 'Draw', '0', '0', '172', 'World Championship 12th', 'Havana CUB', '1921.03.15', '12', 'C66', 'Ruy Lopez'
'Capablanca  Jose Raul', 'Lasker  Emanuel', '1921.04.19', '46', '23', 'Draw', '0', '0', '173', 'World Championship 12th', 'Havana CUB', '1921.03.15', '13', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Lasker  Emanuel', 'Capablanca  Jose Raul', '1921.04.20', '112', '56', 'Black', '0', '0', '174', 'World Championship 12th', 'Havana CUB', '1921.03.15', '14', 'C66', 'Ruy Lopez'
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.09.16', '86', '43', 'Black', '0', '0', '175', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '1', 'C01', 'French, Exchange'
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.09.20', '38', '19', 'Draw', '0', '0', '176', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '2', 'D65', "Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.09.21', '83', '41', 'White', '0', '0', '177', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '3', 'A47', "Queen's Indian"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.09.23', '98', '49', 'Draw', '0', '0', '178', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '4', 'D64', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.09.27', '83', '41', 'Draw', '0', '0', '179', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '5', 'D51', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.09.30', '79', '39', 'Draw', '0', '0', '180', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '6', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.01', '71', '35', 'White', '0', '0', '181', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '7', 'D52', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.03', '84', '42', 'Draw', '0', '0', '182', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '8', 'D62', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.05', '68', '34', 'Draw', '0', '0', '183', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '9', 'D51', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.06', '40', '20', 'Draw', '0', '0', '184', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '10', 'D62', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.08', '132', '66', 'Black', '0', '0', '185', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '11', 'D52', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.11', '81', '40', 'White', '0', '0', '186', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '12', 'D64', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.15', '54', '27', 'Draw', '0', '0', '187', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '13', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.14', '50', '25', 'Draw', '0', '0', '188', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '14', 'D65', "Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.15', '59', '29', 'Draw', '0', '0', '189', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '15', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.17', '47', '23', 'Draw', '0', '0', '190', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '16', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.18', '118', '59', 'Draw', '0', '0', '191', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '17', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.20', '55', '27', 'Draw', '0', '0', '192', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '18', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.22', '42', '21', 'Draw', '0', '0', '193', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '19', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.24', '86', '43', 'Draw', '0', '0', '194', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '20', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.10.26', '64', '32', 'Black', '0', '0', '195', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '21', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.10.28', '172', '86', 'Draw', '0', '0', '196', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '22', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.01', '95', '47', 'Draw', '0', '0', '197', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '23', 'D63', "Queen's Gambit Declined, Orthodox Defense"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.03', '81', '40', 'Draw', '0', '0', '198', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '24', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.05', '80', '40', 'Draw', '0', '0', '199', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '25', 'D65', "Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.08', '43', '21', 'Draw', '0', '0', '200', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '26', 'D64', "Queen's Gambit Declined, Orthodox, Rubinstein Attack"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.09', '76', '38', 'Draw', '0', '0', '201', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '27', 'D65', "Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.10', '85', '42', 'Draw', '0', '0', '202', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '28', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.14', '139', '69', 'White', '0', '0', '203', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '29', 'D52', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.16', '80', '40', 'Draw', '0', '0', '204', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '30', 'D67', "Queen's Gambit Declined, Orthodox Defense, Bd3 line"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.18', '83', '41', 'Draw', '0', '0', '205', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '31', 'D51', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.22', '125', '62', 'White', '0', '0', '206', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '32', 'D35', "Queen's Gambit Declined"
'Capablanca  Jose Raul', 'Alekhine  Alexander A', '1927.11.25', '36', '18', 'Draw', '0', '0', '207', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '33', 'D51', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Capablanca  Jose Raul', '1927.11.26', '163', '81', 'White', '0', '0', '208', 'World Championship 13th', 'Buenos Aires ARG', '1927.09.16', '34', 'D51', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.09.06', '51', '25', 'White', '0', '0', '209', 'World Championship 14th', 'GER/NLD', '1929.09.06', '1', 'D16', "Queen's Gambit Declined Slav"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.09.07', '101', '50', 'Draw', '0', '0', '210', 'World Championship 14th', 'GER/NLD', '1929.09.06', '2', 'E23', 'Nimzo-Indian, Spielmann'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.09.09', '140', '70', 'Draw', '0', '0', '211', 'World Championship 14th', 'GER/NLD', '1929.09.06', '3', 'D17', "Queen's Gambit Declined Slav"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.09.11', '75', '37', 'White', '0', '0', '212', 'World Championship 14th', 'GER/NLD', '1929.09.06', '4', 'E38', 'Nimzo-Indian, Classical, 4...c5'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.09.13', '95', '47', 'White', '0', '0', '213', 'World Championship 14th', 'GER/NLD', '1929.09.06', '5', 'D17', "Queen's Gambit Declined Slav"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.09.15', '95', '47', 'White', '0', '0', '214', 'World Championship 14th', 'GER/NLD', '1929.09.06', '6', 'E22', 'Nimzo-Indian, Spielmann Variation'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.09.17', '69', '34', 'White', '0', '0', '215', 'World Championship 14th', 'GER/NLD', '1929.09.06', '7', 'D78', 'Neo-Grunfeld, 6.O-O c6'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.09.19', '60', '30', 'Black', '0', '0', '216', 'World Championship 14th', 'GER/NLD', '1929.09.06', '8', 'A50', "Queen's Pawn Game"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.03', '60', '30', 'Draw', '0', '0', '217', 'World Championship 14th', 'GER/NLD', '1929.09.06', '9', 'D52', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.05', '99', '49', 'Black', '0', '0', '218', 'World Championship 14th', 'GER/NLD', '1929.09.06', '10', 'D52', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.07', '126', '63', 'Draw', '0', '0', '219', 'World Championship 14th', 'GER/NLD', '1929.09.06', '11', 'D51', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.11', '112', '56', 'Black', '0', '0', '220', 'World Championship 14th', 'GER/NLD', '1929.09.06', '12', 'D52', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.13', '68', '34', 'Black', '0', '0', '221', 'World Championship 14th', 'GER/NLD', '1929.09.06', '13', 'D52', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.15', '141', '70', 'White', '0', '0', '222', 'World Championship 14th', 'GER/NLD', '1929.09.06', '14', 'D30', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.17', '88', '44', 'Draw', '0', '0', '223', 'World Championship 14th', 'GER/NLD', '1929.09.06', '15', 'E70', "King's Indian"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.19', '120', '60', 'Black', '0', '0', '224', 'World Championship 14th', 'GER/NLD', '1929.09.06', '16', 'D30', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.21', '67', '33', 'White', '0', '0', '225', 'World Championship 14th', 'GER/NLD', '1929.09.06', '17', 'D70', 'Neo-Grunfeld Defense'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.26', '101', '50', 'White', '0', '0', '226', 'World Championship 14th', 'GER/NLD', '1929.09.06', '18', 'C11', 'French'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.10.27', '153', '76', 'White', '0', '0', '227', 'World Championship 14th', 'GER/NLD', '1929.09.06', '19', 'D51', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.10.30', '95', '47', 'Draw', '0', '0', '228', 'World Championship 14th', 'GER/NLD', '1929.09.06', '20', 'C79', 'Ruy Lopez, Steinitz Defense Deferred'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.11.01', '97', '48', 'White', '0', '0', '229', 'World Championship 14th', 'GER/NLD', '1929.09.06', '21', 'E22', 'Nimzo-Indian, Spielmann Variation'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.11.03', '78', '39', 'Black', '0', '0', '230', 'World Championship 14th', 'GER/NLD', '1929.09.06', '22', 'C76', 'Ruy Lopez, Modern Steinitz Defense, Fianchetto Variation'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.11.05', '165', '82', 'Draw', '0', '0', '231', 'World Championship 14th', 'GER/NLD', '1929.09.06', '23', 'D46', "Queen's Gambit Declined Semi-Slav"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1929.11.10', '76', '38', 'Draw', '0', '0', '232', 'World Championship 14th', 'GER/NLD', '1929.09.06', '24', 'C11', 'French'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1929.11.11', '110', '55', 'Draw', '0', '0', '233', 'World Championship 14th', 'GER/NLD', '1929.09.06', '25', 'D30', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.01', '130', '65', 'Draw', '0', '0', '234', 'World Championship 15th', 'GER', '1934.04.01', '1', 'D50', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.04.04', '73', '36', 'White', '0', '0', '235', 'World Championship 15th', 'GER', '1934.04.01', '2', 'D48', "Queen's Gambit Declined Semi-Slav, Meran"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.06', '54', '27', 'Draw', '0', '0', '236', 'World Championship 15th', 'GER', '1934.04.01', '3', 'D22', "Queen's Gambit Accepted"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.04.11', '121', '60', 'White', '0', '0', '237', 'World Championship 15th', 'GER', '1934.04.01', '4', 'D31', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.13', '101', '50', 'Draw', '0', '0', '238', 'World Championship 15th', 'GER', '1934.04.01', '5', 'D26', "Queen's Gambit Accepted"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.04.18', '120', '60', 'Draw', '0', '0', '239', 'World Championship 15th', 'GER', '1934.04.01', '6', 'D30', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.20', '34', '17', 'Draw', '0', '0', '240', 'World Championship 15th', 'GER', '1934.04.01', '7', 'D28', "Queen's Gambit Accepted, Classical"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.04.22', '127', '63', 'Draw', '0', '0', '241', 'World Championship 15th', 'GER', '1934.04.01', '8', 'E24', 'Nimzo-Indian, Samisch'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.25', '92', '46', 'Black', '0', '0', '242', 'World Championship 15th', 'GER', '1934.04.01', '9', 'A44', 'Old Benoni Defense'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.04.27', '162', '81', 'Black', '0', '0', '243', 'World Championship 15th', 'GER', '1934.04.01', '10', 'D52', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.04.29', '124', '62', 'Black', '0', '0', '244', 'World Championship 15th', 'GER', '1934.04.01', '11', 'A91', 'Dutch Defense'
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.05.02', '149', '74', 'Draw', '0', '0', '245', 'World Championship 15th', 'GER', '1934.04.01', '12', 'D49', "Queen's Gambit Declined Semi-Slav, Meran"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.05.06', '147', '73', 'Draw', '0', '0', '246', 'World Championship 15th', 'GER', '1934.04.01', '13', 'A47', "Queen's Indian"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.05.08', '107', '53', 'Draw', '0', '0', '247', 'World Championship 15th', 'GER', '1934.04.01', '14', 'D60', "Queen's Gambit Declined, Orthodox Defense"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.05.11', '139', '69', 'Draw', '0', '0', '248', 'World Championship 15th', 'GER', '1934.04.01', '15', 'D21', "Queen's Gambit Accepted"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.05.13', '85', '42', 'White', '0', '0', '249', 'World Championship 15th', 'GER', '1934.04.01', '16', 'C77', 'Ruy Lopez'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.05.20', '82', '41', 'Black', '0', '0', '250', 'World Championship 15th', 'GER', '1934.04.01', '17', 'D24', "Queen's Gambit Accepted"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.05.21', '56', '28', 'Draw', '0', '0', '251', 'World Championship 15th', 'GER', '1934.04.01', '18', 'D05', "Queen's Pawn Game"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.05.26', '115', '57', 'Draw', '0', '0', '252', 'World Championship 15th', 'GER', '1934.04.01', '19', 'D27', "Queen's Gambit Accepted, Classical"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.05.27', '88', '44', 'Draw', '0', '0', '253', 'World Championship 15th', 'GER', '1934.04.01', '20', 'D52', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.05.30', '126', '63', 'Black', '0', '0', '254', 'World Championship 15th', 'GER', '1934.04.01', '21', 'D30', "Queen's Gambit Declined"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.06.01', '83', '41', 'Draw', '0', '0', '255', 'World Championship 15th', 'GER', '1934.04.01', '22', 'E35', 'Nimzo-Indian, Classical, Noa Variation, 5.cd ed'
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.06.03', '115', '57', 'White', '0', '0', '256', 'World Championship 15th', 'GER', '1934.04.01', '23', 'D23', "Queen's Gambit Accepted"
'Alekhine  Alexander A', 'Bogoljubow  Efim D', '1934.06.06', '78', '39', 'Black', '0', '0', '257', 'World Championship 15th', 'GER', '1934.04.01', '24', 'D30', "Queen's Gambit Declined"
'Bogoljubow  Efim D', 'Alekhine  Alexander A', '1934.06.11', '88', '44', 'Black', '0', '0', '258', 'World Championship 15th', 'GER', '1934.04.01', '25', 'D11', "Queen's Gambit Declined Slav"
