'White', 'Black', 'Date', 'HalfMoves', 'Moves', 'Result', 'WhiteElo', 'BlackElo', 'GameNumber', 'Event', 'Site', 'EventDate', 'Round', 'ECO', 'Opening'
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.01.31', '67', '33', 'White', '0', '0', '27', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '7', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1889.02.04', '75', '37', 'White', '0', '0', '28', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '8', 'D46', "Queen's Gambit Declined Semi-Slav"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.02.05', '112', '56', 'Black', '0', '0', '29', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '9', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1889.02.08', '53', '26', 'White', '0', '0', '30', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '10', 'D07', "Queen's Gambit Declined, Chigorin Defense"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.02.10', '61', '30', 'White', '0', '0', '31', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '11', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1889.02.12', '121', '60', 'White', '0', '0', '32', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '12', 'D07', "Queen's Gambit Declined, Chigorin Defense"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.02.16', '127', '63', 'White', '0', '0', '33', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '13', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1889.02.19', '69', '34', 'White', '0', '0', '34', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '14', 'D07', "Queen's Gambit Declined, Chigorin Defense"
'Chigorin  Mikhail I', 'Steinitz  Wilhelm', '1889.02.21', '72', '36', 'Black', '0', '0', '35', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '15', 'C52', 'Evans Gambit'
'Steinitz  Wilhelm', 'Chigorin  Mikhail I', '1889.02.23', '103', '51', 'White', '0', '0', '36', 'World Championship 2nd', 'Havana CUB', '1889.01.20', '16', 'A85', 'Dutch, with c4 & Nc3'
